,sex,length,diameter,height,wholeWeight,shuckedWeight,visceraWeight,shellWeight,rings
0,I,0.35,0.27,0.09,0.2055,0.075,0.0575,0.062,6
1,I,0.55,0.425,0.15,0.806,0.376,0.171,0.245,14
2,F,0.59,0.44,0.14,1.007,0.4775,0.2105,0.2925,9
3,F,0.49,0.39,0.135,0.59,0.215,0.125,0.1845,12
4,I,0.54,0.4,0.145,0.757,0.315,0.181,0.215,11
5,I,0.42,0.31,0.095,0.279,0.1255,0.051,0.088,6
6,I,0.475,0.35,0.115,0.498,0.2375,0.099,0.14,7
7,M,0.55,0.42,0.145,0.7385,0.321,0.1485,0.252,11
8,F,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,12
9,F,0.625,0.49,0.19,1.7015,0.7465,0.4105,0.3855,11
10,F,0.66,0.525,0.18,1.5965,0.7765,0.397,0.3605,10
11,F,0.515,0.4,0.115,0.578,0.191,0.1445,0.17,9
12,M,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545,16
13,F,0.525,0.405,0.16,0.658,0.2655,0.1125,0.225,12
14,I,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,9
15,F,0.47,0.375,0.105,0.513,0.232,0.142,0.13,11
16,F,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,12
17,F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11
18,M,0.415,0.315,0.12,0.4015,0.199,0.087,0.097,8
19,F,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,27
20,M,0.56,0.43,0.155,0.8675,0.4,0.172,0.229,8
21,I,0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041,6
22,F,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,9
23,I,0.54,0.43,0.14,0.8195,0.3935,0.1725,0.2295,9
24,M,0.575,0.455,0.165,0.867,0.3765,0.1805,0.268,8
25,M,0.6,0.48,0.155,1.014,0.451,0.1885,0.325,11
26,I,0.515,0.405,0.13,0.573,0.213,0.134,0.195,9
27,F,0.675,0.53,0.195,1.4985,0.62,0.375,0.425,9
28,I,0.55,0.435,0.125,0.741,0.348,0.1585,0.206,9
29,F,0.605,0.46,0.17,1.122,0.347,0.3045,0.315,13
30,I,0.44,0.35,0.11,0.3805,0.1575,0.0895,0.115,6
31,F,0.62,0.47,0.225,1.115,0.378,0.2145,0.36,15
32,I,0.415,0.33,0.1,0.3905,0.1925,0.0755,0.1025,7
33,F,0.495,0.38,0.12,0.573,0.2655,0.1285,0.144,7
34,F,0.65,0.52,0.195,1.281,0.5985,0.246,0.3825,10
35,M,0.57,0.435,0.13,0.7535,0.349,0.1755,0.194,10
36,M,0.38,0.29,0.12,0.283,0.1175,0.0655,0.085,9
37,I,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,6
38,M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10
39,F,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20
40,M,0.7,0.565,0.18,1.751,0.895,0.3355,0.446,9
41,M,0.6,0.47,0.15,0.928,0.4225,0.183,0.275,8
42,M,0.68,0.52,0.195,1.4535,0.592,0.391,0.4125,10
43,F,0.655,0.52,0.2,1.5475,0.713,0.314,0.466,9
44,I,0.52,0.4,0.11,0.597,0.2935,0.1155,0.16,8
45,F,0.705,0.56,0.205,2.381,0.9915,0.5005,0.624,10
46,F,0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,11
47,M,0.675,0.525,0.175,1.402,0.483,0.3205,0.465,16
48,I,0.385,0.265,0.08,0.251,0.124,0.037,0.07,6
49,I,0.605,0.495,0.145,1.054,0.369,0.2255,0.36,12
50,F,0.52,0.4,0.125,0.6865,0.295,0.1715,0.185,9
51,F,0.68,0.51,0.2,1.6075,0.714,0.339,0.4705,11
52,F,0.65,0.52,0.195,1.6275,0.689,0.3905,0.432,11
53,M,0.575,0.45,0.155,0.886,0.3605,0.211,0.2575,9
54,F,0.465,0.35,0.115,0.421,0.1565,0.091,0.1345,9
55,M,0.565,0.45,0.155,1.0595,0.4735,0.24,0.265,10
56,I,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013,4
57,F,0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,10
58,I,0.455,0.33,0.1,0.372,0.358,0.0775,0.11,8
59,F,0.64,0.475,0.175,1.1545,0.4865,0.341,0.288,9
60,F,0.455,0.37,0.105,0.4925,0.216,0.1245,0.135,9
61,F,0.645,0.48,0.19,1.371,0.6925,0.2905,0.35,12
62,M,0.54,0.42,0.19,0.6855,0.293,0.163,0.38,10
63,F,0.595,0.465,0.15,1.1005,0.5415,0.166,0.265,8
64,M,0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595,9
65,M,0.625,0.475,0.16,1.0845,0.5005,0.2355,0.3105,10
66,I,0.34,0.265,0.07,0.185,0.0625,0.0395,0.07,7
67,M,0.51,0.38,0.135,0.681,0.3435,0.142,0.17,9
68,F,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,19
69,F,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,13
70,I,0.48,0.39,0.15,0.6275,0.276,0.134,0.185,13
71,M,0.49,0.395,0.12,0.674,0.3325,0.1235,0.185,9
72,I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9
73,I,0.43,0.345,0.115,0.4295,0.212,0.108,0.109,8
74,M,0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,13
75,M,0.59,0.46,0.13,1.102,0.455,0.2055,0.33,12
76,F,0.625,0.485,0.2,1.38,0.5845,0.302,0.401,9
77,I,0.36,0.3,0.085,0.27,0.1185,0.064,0.0745,7
78,F,0.505,0.385,0.115,0.616,0.243,0.1075,0.21,11
79,M,0.635,0.525,0.16,1.195,0.5435,0.246,0.335,12
80,M,0.71,0.55,0.2,1.9045,0.882,0.44,0.5,13
81,F,0.56,0.445,0.195,0.981,0.305,0.2245,0.335,16
82,I,0.465,0.345,0.105,0.4015,0.242,0.0345,0.109,6
83,F,0.54,0.415,0.175,0.8975,0.275,0.241,0.275,14
84,M,0.7,0.545,0.185,1.6135,0.75,0.4035,0.3685,11
85,M,0.37,0.28,0.095,0.2225,0.0805,0.051,0.075,7
86,I,0.525,0.4,0.14,0.6955,0.2405,0.16,0.253,10
87,F,0.685,0.535,0.175,1.5845,0.7175,0.3775,0.4215,9
88,I,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,8
89,I,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,5
90,F,0.44,0.34,0.105,0.364,0.148,0.0805,0.1175,8
91,F,0.635,0.5,0.175,1.477,0.684,0.3005,0.39,12
92,F,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10
93,I,0.465,0.37,0.115,0.534,0.261,0.098,0.143,7
94,F,0.695,0.55,0.16,1.6365,0.694,0.3005,0.44,13
95,M,0.485,0.41,0.15,0.696,0.2405,0.1625,0.265,13
96,I,0.365,0.27,0.085,0.197,0.0815,0.0325,0.065,6
97,M,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10
98,I,0.58,0.425,0.145,0.83,0.379,0.1605,0.2575,11
99,I,0.435,0.33,0.105,0.335,0.156,0.0555,0.105,8
100,M,0.535,0.44,0.165,0.875,0.279,0.18,0.3,10
101,I,0.515,0.415,0.135,0.7125,0.285,0.152,0.245,10
102,I,0.24,0.175,0.055,0.0705,0.025,0.014,0.021,5
103,F,0.565,0.48,0.175,0.957,0.3885,0.215,0.275,18
104,I,0.435,0.325,0.1,0.342,0.1335,0.0835,0.105,6
105,I,0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,17
106,M,0.59,0.475,0.165,1.077,0.4545,0.244,0.3095,9
107,I,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,13
108,I,0.52,0.41,0.145,0.646,0.2965,0.1595,0.165,9
109,M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
110,F,0.58,0.475,0.155,0.974,0.4305,0.23,0.285,10
111,F,0.61,0.48,0.19,1.2955,0.5215,0.3225,0.365,12
112,F,0.655,0.5,0.18,1.4155,0.508,0.314,0.445,18
113,I,0.525,0.375,0.12,0.6315,0.3045,0.114,0.19,9
114,M,0.6,0.45,0.195,1.34,0.617,0.3255,0.3605,10
115,F,0.505,0.41,0.15,0.6345,0.243,0.1335,0.215,17
116,F,0.675,0.535,0.22,1.604,0.6175,0.4255,0.453,14
117,F,0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685,11
118,I,0.57,0.425,0.14,0.7655,0.331,0.14,0.24,10
119,M,0.62,0.495,0.195,1.5145,0.579,0.346,0.5195,15
120,F,0.505,0.375,0.115,0.5895,0.2635,0.12,0.167,10
121,F,0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,8
122,I,0.39,0.3,0.105,0.259,0.0955,0.038,0.085,8
123,F,0.465,0.39,0.14,0.5555,0.213,0.1075,0.215,15
124,I,0.46,0.35,0.11,0.4675,0.2125,0.099,0.1375,7
125,M,0.425,0.325,0.12,0.3755,0.142,0.1065,0.105,9
126,I,0.62,0.49,0.16,1.066,0.446,0.246,0.305,11
127,M,0.765,0.585,0.18,2.398,1.128,0.512,0.5335,12
128,M,0.4,0.305,0.13,0.2935,0.096,0.0675,0.105,9
129,I,0.435,0.345,0.12,0.4475,0.221,0.112,0.125,7
130,F,0.57,0.465,0.155,0.9685,0.446,0.261,0.255,9
131,I,0.585,0.46,0.145,0.8465,0.339,0.167,0.295,10
132,I,0.425,0.34,0.1,0.382,0.164,0.096,0.1,6
133,M,0.57,0.435,0.125,0.8965,0.383,0.1835,0.275,9
134,M,0.56,0.45,0.16,0.922,0.432,0.178,0.26,15
135,I,0.325,0.24,0.07,0.152,0.0565,0.0305,0.054,8
136,M,0.465,0.375,0.11,0.5,0.21,0.113,0.1505,8
137,I,0.51,0.405,0.135,0.769,0.3655,0.1585,0.18,7
138,I,0.37,0.29,0.08,0.2545,0.108,0.0565,0.07,6
139,F,0.505,0.405,0.16,0.6835,0.271,0.145,0.215,10
140,M,0.605,0.49,0.14,0.9755,0.419,0.206,0.315,10
141,M,0.485,0.365,0.155,1.029,0.4235,0.2285,0.313,8
142,M,0.26,0.19,0.075,0.0945,0.0445,0.02,0.03,6
143,F,0.72,0.575,0.18,1.6705,0.732,0.3605,0.501,12
144,F,0.535,0.4,0.15,1.224,0.618,0.275,0.2875,10
145,M,0.615,0.475,0.17,1.1825,0.474,0.2895,0.24,11
146,F,0.58,0.475,0.165,1.0385,0.414,0.26,0.305,13
147,F,0.615,0.475,0.155,1.004,0.4475,0.193,0.2895,10
148,I,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,4
149,F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9
150,M,0.605,0.445,0.14,0.982,0.4295,0.2085,0.295,12
151,F,0.575,0.48,0.165,1.078,0.511,0.2095,0.306,9
152,I,0.505,0.355,0.125,0.601,0.25,0.1205,0.185,8
153,M,0.64,0.505,0.18,1.297,0.59,0.3125,0.363,11
154,M,0.665,0.515,0.165,1.3855,0.621,0.302,0.3445,8
155,M,0.535,0.42,0.125,0.764,0.312,0.1505,0.265,11
156,M,0.275,0.205,0.07,0.094,0.0335,0.02,0.0325,5
157,M,0.72,0.55,0.205,2.125,1.1455,0.4425,0.511,13
158,M,0.645,0.53,0.195,1.39,0.6465,0.2945,0.3735,10
159,M,0.605,0.475,0.14,1.1175,0.555,0.257,0.274,9
160,I,0.2,0.155,0.04,0.0435,0.0155,0.009,0.007,4
161,M,0.71,0.56,0.175,1.724,0.566,0.4575,0.4625,13
162,M,0.63,0.5,0.185,1.362,0.5785,0.3125,0.384,10
163,F,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135,10
164,I,0.335,0.26,0.085,0.192,0.097,0.03,0.054,6
165,M,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,14
166,F,0.555,0.44,0.145,0.8815,0.43,0.1975,0.2155,8
167,M,0.675,0.515,0.145,1.265,0.6025,0.299,0.325,10
168,I,0.43,0.34,0.1,0.3405,0.1395,0.0665,0.12,8
169,F,0.595,0.5,0.18,1.053,0.4405,0.192,0.39,13
170,M,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,8
171,M,0.55,0.46,0.175,0.869,0.3155,0.1825,0.32,10
172,M,0.59,0.5,0.15,1.142,0.485,0.265,0.345,9
173,M,0.58,0.465,0.175,1.035,0.401,0.1865,0.385,17
174,M,0.595,0.485,0.15,1.0835,0.5305,0.231,0.276,8
175,M,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,18
176,I,0.315,0.23,0.09,0.1285,0.043,0.04,0.04,7
177,I,0.55,0.425,0.145,0.89,0.4325,0.171,0.236,10
178,I,0.565,0.435,0.145,0.8445,0.3975,0.158,0.255,9
179,M,0.54,0.41,0.13,0.56,0.2375,0.1065,0.175,7
180,F,0.47,0.365,0.12,0.582,0.29,0.092,0.146,8
181,M,0.58,0.43,0.125,0.9115,0.446,0.2075,0.121,10
182,I,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,7
183,M,0.515,0.385,0.11,0.5785,0.253,0.16,0.14,8
184,F,0.54,0.44,0.135,0.959,0.2385,0.221,0.3,17
185,F,0.4,0.305,0.16,0.368,0.173,0.0705,0.105,7
186,M,0.545,0.41,0.14,0.737,0.349,0.15,0.212,9
187,I,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115,9
188,I,0.315,0.23,0.0,0.134,0.0575,0.0285,0.3505,6
189,F,0.575,0.435,0.155,0.8975,0.4115,0.2325,0.23,9
190,I,0.375,0.285,0.09,0.257,0.1045,0.062,0.075,7
191,I,0.575,0.455,0.18,0.8525,0.3015,0.1825,0.3,13
192,M,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,15
193,M,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,19
194,I,0.61,0.425,0.155,1.0485,0.507,0.1955,0.274,11
195,F,0.73,0.56,0.19,1.9425,0.799,0.5195,0.5655,11
196,M,0.59,0.455,0.155,0.8855,0.388,0.188,0.275,10
197,M,0.635,0.52,0.175,1.292,0.6,0.269,0.367,11
198,F,0.535,0.445,0.125,0.8725,0.417,0.199,0.24,8
199,F,0.675,0.57,0.225,1.587,0.739,0.2995,0.435,10
200,F,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,7
201,I,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,14
202,I,0.205,0.15,0.065,0.04,0.02,0.011,0.013,4
203,F,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065,9
204,I,0.35,0.25,0.07,0.18,0.0655,0.048,0.054,6
205,I,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,5
206,I,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,6
207,M,0.6,0.48,0.175,1.229,0.4125,0.2735,0.415,13
208,M,0.64,0.515,0.08,1.042,0.515,0.1755,0.175,10
